file,emotion,intensity,statement,repitition,actor
03-01-07-02-02-01-15.wav,disgust,high,Dogs are sitting by the door,01,15
03-01-06-02-02-01-15.wav,fearful,high,Dogs are sitting by the door,01,15
03-01-04-02-01-01-15.wav,sad,high,Kids are talking by the door,01,15
03-01-05-02-01-01-15.wav,angry,high,Kids are talking by the door,01,15
03-01-01-01-02-01-15.wav,neutral,high,Dogs are sitting by the door,01,15
03-01-04-02-02-01-15.wav,sad,high,Dogs are sitting by the door,01,15
03-01-06-02-01-01-15.wav,fearful,high,Kids are talking by the door,01,15
03-01-03-02-02-01-15.wav,happy,high,Dogs are sitting by the door,01,15
03-01-07-02-01-01-15.wav,disgust,high,Kids are talking by the door,01,15
03-01-03-02-01-01-15.wav,happy,high,Kids are talking by the door,01,15
03-01-05-02-02-01-15.wav,angry,high,Dogs are sitting by the door,01,15
03-01-01-01-01-01-15.wav,neutral,high,Kids are talking by the door,01,15
03-01-05-02-02-01-02.wav,angry,high,Dogs are sitting by the door,01,02
03-01-07-02-02-01-02.wav,disgust,high,Dogs are sitting by the door,01,02
03-01-07-02-01-01-02.wav,disgust,high,Kids are talking by the door,01,02
03-01-05-02-01-01-02.wav,angry,high,Kids are talking by the door,01,02
03-01-01-01-01-01-02.wav,neutral,high,Kids are talking by the door,01,02
03-01-03-02-01-01-02.wav,happy,high,Kids are talking by the door,01,02
03-01-04-02-01-01-02.wav,sad,high,Kids are talking by the door,01,02
03-01-01-01-02-01-02.wav,neutral,high,Dogs are sitting by the door,01,02
03-01-03-02-02-01-02.wav,happy,high,Dogs are sitting by the door,01,02
03-01-04-02-02-01-02.wav,sad,high,Dogs are sitting by the door,01,02
03-01-06-02-02-01-02.wav,fearful,high,Dogs are sitting by the door,01,02
03-01-06-02-01-01-02.wav,fearful,high,Kids are talking by the door,01,02
03-01-04-02-01-01-08.wav,sad,high,Kids are talking by the door,01,08
03-01-03-02-01-01-08.wav,happy,high,Kids are talking by the door,01,08
03-01-05-02-01-01-08.wav,angry,high,Kids are talking by the door,01,08
03-01-06-02-02-01-08.wav,fearful,high,Dogs are sitting by the door,01,08
03-01-01-01-01-01-08.wav,neutral,high,Kids are talking by the door,01,08
03-01-07-02-01-01-08.wav,disgust,high,Kids are talking by the door,01,08
03-01-01-01-02-01-08.wav,neutral,high,Dogs are sitting by the door,01,08
03-01-05-02-02-01-08.wav,angry,high,Dogs are sitting by the door,01,08
03-01-04-02-02-01-08.wav,sad,high,Dogs are sitting by the door,01,08
03-01-03-02-02-01-08.wav,happy,high,Dogs are sitting by the door,01,08
03-01-06-02-01-01-08.wav,fearful,high,Kids are talking by the door,01,08
03-01-07-02-02-01-08.wav,disgust,high,Dogs are sitting by the door,01,08
03-01-04-02-02-01-23.wav,sad,high,Dogs are sitting by the door,01,23
03-01-05-02-01-01-23.wav,angry,high,Kids are talking by the door,01,23
03-01-05-02-02-01-23.wav,angry,high,Dogs are sitting by the door,01,23
03-01-07-02-02-01-23.wav,disgust,high,Dogs are sitting by the door,01,23
03-01-01-01-02-01-23.wav,neutral,high,Dogs are sitting by the door,01,23
03-01-04-02-01-01-23.wav,sad,high,Kids are talking by the door,01,23
03-01-01-01-01-01-23.wav,neutral,high,Kids are talking by the door,01,23
03-01-03-02-01-01-23.wav,happy,high,Kids are talking by the door,01,23
03-01-06-02-02-01-23.wav,fearful,high,Dogs are sitting by the door,01,23
03-01-03-02-02-01-23.wav,happy,high,Dogs are sitting by the door,01,23
03-01-06-02-01-01-23.wav,fearful,high,Kids are talking by the door,01,23
03-01-07-02-01-01-23.wav,disgust,high,Kids are talking by the door,01,23
03-01-01-01-01-01-18.wav,neutral,high,Kids are talking by the door,01,18
03-01-03-02-02-01-18.wav,happy,high,Dogs are sitting by the door,01,18
03-01-03-02-01-01-18.wav,happy,high,Kids are talking by the door,01,18
03-01-05-02-01-01-18.wav,angry,high,Kids are talking by the door,01,18
03-01-06-02-02-01-18.wav,fearful,high,Dogs are sitting by the door,01,18
03-01-01-01-02-01-18.wav,neutral,high,Dogs are sitting by the door,01,18
03-01-04-02-01-01-18.wav,sad,high,Kids are talking by the door,01,18
03-01-04-02-02-01-18.wav,sad,high,Dogs are sitting by the door,01,18
03-01-06-02-01-01-18.wav,fearful,high,Kids are talking by the door,01,18
03-01-05-02-02-01-18.wav,angry,high,Dogs are sitting by the door,01,18
03-01-07-02-02-01-18.wav,disgust,high,Dogs are sitting by the door,01,18
03-01-07-02-01-01-18.wav,disgust,high,Kids are talking by the door,01,18
03-01-05-02-01-01-16.wav,angry,high,Kids are talking by the door,01,16
03-01-03-02-01-01-16.wav,happy,high,Kids are talking by the door,01,16
03-01-06-02-02-01-16.wav,fearful,high,Dogs are sitting by the door,01,16
03-01-07-02-02-01-16.wav,disgust,high,Dogs are sitting by the door,01,16
03-01-04-02-01-01-16.wav,sad,high,Kids are talking by the door,01,16
03-01-01-01-02-01-16.wav,neutral,high,Dogs are sitting by the door,01,16
03-01-06-02-01-01-16.wav,fearful,high,Kids are talking by the door,01,16
03-01-01-01-01-01-16.wav,neutral,high,Kids are talking by the door,01,16
03-01-07-02-01-01-16.wav,disgust,high,Kids are talking by the door,01,16
03-01-05-02-02-01-16.wav,angry,high,Dogs are sitting by the door,01,16
03-01-04-02-02-01-16.wav,sad,high,Dogs are sitting by the door,01,16
03-01-03-02-02-01-16.wav,happy,high,Dogs are sitting by the door,01,16
03-01-05-02-01-01-20.wav,angry,high,Kids are talking by the door,01,20
03-01-01-01-02-01-20.wav,neutral,high,Dogs are sitting by the door,01,20
03-01-04-02-02-01-20.wav,sad,high,Dogs are sitting by the door,01,20
03-01-03-02-01-01-20.wav,happy,high,Kids are talking by the door,01,20
03-01-05-02-02-01-20.wav,angry,high,Dogs are sitting by the door,01,20
03-01-07-02-01-01-20.wav,disgust,high,Kids are talking by the door,01,20
03-01-06-02-02-01-20.wav,fearful,high,Dogs are sitting by the door,01,20
03-01-03-02-02-01-20.wav,happy,high,Dogs are sitting by the door,01,20
03-01-01-01-01-01-20.wav,neutral,high,Kids are talking by the door,01,20
03-01-06-02-01-01-20.wav,fearful,high,Kids are talking by the door,01,20
03-01-04-02-01-01-20.wav,sad,high,Kids are talking by the door,01,20
03-01-07-02-02-01-20.wav,disgust,high,Dogs are sitting by the door,01,20
03-01-06-02-01-01-10.wav,fearful,high,Kids are talking by the door,01,10
03-01-03-02-01-01-10.wav,happy,high,Kids are talking by the door,01,10
03-01-05-02-02-01-10.wav,angry,high,Dogs are sitting by the door,01,10
03-01-07-02-02-01-10.wav,disgust,high,Dogs are sitting by the door,01,10
03-01-05-02-01-01-10.wav,angry,high,Kids are talking by the door,01,10
03-01-07-02-01-01-10.wav,disgust,high,Kids are talking by the door,01,10
03-01-04-02-01-01-10.wav,sad,high,Kids are talking by the door,01,10
03-01-03-02-02-01-10.wav,happy,high,Dogs are sitting by the door,01,10
03-01-06-02-02-01-10.wav,fearful,high,Dogs are sitting by the door,01,10
03-01-01-01-02-01-10.wav,neutral,high,Dogs are sitting by the door,01,10
03-01-01-01-01-01-10.wav,neutral,high,Kids are talking by the door,01,10
03-01-04-02-02-01-10.wav,sad,high,Dogs are sitting by the door,01,10
03-01-05-02-01-01-22.wav,angry,high,Kids are talking by the door,01,22
03-01-06-02-01-01-22.wav,fearful,high,Kids are talking by the door,01,22
03-01-04-02-01-01-22.wav,sad,high,Kids are talking by the door,01,22
03-01-07-02-02-01-22.wav,disgust,high,Dogs are sitting by the door,01,22
03-01-04-02-02-01-22.wav,sad,high,Dogs are sitting by the door,01,22
03-01-06-02-02-01-22.wav,fearful,high,Dogs are sitting by the door,01,22
03-01-01-01-02-01-22.wav,neutral,high,Dogs are sitting by the door,01,22
03-01-07-02-01-01-22.wav,disgust,high,Kids are talking by the door,01,22
03-01-03-02-01-01-22.wav,happy,high,Kids are talking by the door,01,22
03-01-05-02-02-01-22.wav,angry,high,Dogs are sitting by the door,01,22
03-01-01-01-01-01-22.wav,neutral,high,Kids are talking by the door,01,22
03-01-03-02-02-01-22.wav,happy,high,Dogs are sitting by the door,01,22
03-01-04-02-01-01-17.wav,sad,high,Kids are talking by the door,01,17
03-01-01-01-02-01-17.wav,neutral,high,Dogs are sitting by the door,01,17
03-01-07-02-02-01-17.wav,disgust,high,Dogs are sitting by the door,01,17
03-01-05-02-02-01-17.wav,angry,high,Dogs are sitting by the door,01,17
03-01-04-02-02-01-17.wav,sad,high,Dogs are sitting by the door,01,17
03-01-01-01-01-01-17.wav,neutral,high,Kids are talking by the door,01,17
03-01-06-02-01-01-17.wav,fearful,high,Kids are talking by the door,01,17
03-01-05-02-01-01-17.wav,angry,high,Kids are talking by the door,01,17
03-01-03-02-01-01-17.wav,happy,high,Kids are talking by the door,01,17
03-01-07-02-01-01-17.wav,disgust,high,Kids are talking by the door,01,17
03-01-06-02-02-01-17.wav,fearful,high,Dogs are sitting by the door,01,17
03-01-03-02-02-01-17.wav,happy,high,Dogs are sitting by the door,01,17
03-01-06-02-01-01-09.wav,fearful,high,Kids are talking by the door,01,09
03-01-03-02-01-01-09.wav,happy,high,Kids are talking by the door,01,09
03-01-07-02-01-01-09.wav,disgust,high,Kids are talking by the door,01,09
03-01-03-02-02-01-09.wav,happy,high,Dogs are sitting by the door,01,09
03-01-07-02-02-01-09.wav,disgust,high,Dogs are sitting by the door,01,09
03-01-05-02-01-01-09.wav,angry,high,Kids are talking by the door,01,09
03-01-04-02-02-01-09.wav,sad,high,Dogs are sitting by the door,01,09
03-01-01-01-01-01-09.wav,neutral,high,Kids are talking by the door,01,09
03-01-04-02-01-01-09.wav,sad,high,Kids are talking by the door,01,09
03-01-01-01-02-01-09.wav,neutral,high,Dogs are sitting by the door,01,09
03-01-06-02-02-01-09.wav,fearful,high,Dogs are sitting by the door,01,09
03-01-05-02-02-01-09.wav,angry,high,Dogs are sitting by the door,01,09
03-01-03-02-02-01-01.wav,happy,high,Dogs are sitting by the door,01,01
03-01-03-02-01-01-01.wav,happy,high,Kids are talking by the door,01,01
03-01-04-02-01-01-01.wav,sad,high,Kids are talking by the door,01,01
03-01-06-02-02-01-01.wav,fearful,high,Dogs are sitting by the door,01,01
03-01-07-02-02-01-01.wav,disgust,high,Dogs are sitting by the door,01,01
03-01-01-01-01-01-01.wav,neutral,high,Kids are talking by the door,01,01
03-01-01-01-02-01-01.wav,neutral,high,Dogs are sitting by the door,01,01
03-01-06-02-01-01-01.wav,fearful,high,Kids are talking by the door,01,01
03-01-05-02-02-01-01.wav,angry,high,Dogs are sitting by the door,01,01
03-01-07-02-01-01-01.wav,disgust,high,Kids are talking by the door,01,01
03-01-04-02-02-01-01.wav,sad,high,Dogs are sitting by the door,01,01
03-01-05-02-01-01-01.wav,angry,high,Kids are talking by the door,01,01
03-01-04-02-01-01-14.wav,sad,high,Kids are talking by the door,01,14
03-01-05-02-01-01-14.wav,angry,high,Kids are talking by the door,01,14
03-01-03-02-02-01-14.wav,happy,high,Dogs are sitting by the door,01,14
03-01-07-02-01-01-14.wav,disgust,high,Kids are talking by the door,01,14
03-01-06-02-01-01-14.wav,fearful,high,Kids are talking by the door,01,14
03-01-05-02-02-01-14.wav,angry,high,Dogs are sitting by the door,01,14
03-01-07-02-02-01-14.wav,disgust,high,Dogs are sitting by the door,01,14
03-01-06-02-02-01-14.wav,fearful,high,Dogs are sitting by the door,01,14
03-01-01-01-01-01-14.wav,neutral,high,Kids are talking by the door,01,14
03-01-04-02-02-01-14.wav,sad,high,Dogs are sitting by the door,01,14
03-01-03-02-01-01-14.wav,happy,high,Kids are talking by the door,01,14
03-01-01-01-02-01-14.wav,neutral,high,Dogs are sitting by the door,01,14
03-01-01-01-02-01-03.wav,neutral,high,Dogs are sitting by the door,01,03
03-01-03-02-01-01-03.wav,happy,high,Kids are talking by the door,01,03
03-01-06-02-01-01-03.wav,fearful,high,Kids are talking by the door,01,03
03-01-04-02-01-01-03.wav,sad,high,Kids are talking by the door,01,03
03-01-03-02-02-01-03.wav,happy,high,Dogs are sitting by the door,01,03
03-01-07-02-02-01-03.wav,disgust,high,Dogs are sitting by the door,01,03
03-01-06-02-02-01-03.wav,fearful,high,Dogs are sitting by the door,01,03
03-01-04-02-02-01-03.wav,sad,high,Dogs are sitting by the door,01,03
03-01-05-02-01-01-03.wav,angry,high,Kids are talking by the door,01,03
03-01-01-01-01-01-03.wav,neutral,high,Kids are talking by the door,01,03
03-01-05-02-02-01-03.wav,angry,high,Dogs are sitting by the door,01,03
03-01-07-02-01-01-03.wav,disgust,high,Kids are talking by the door,01,03
03-01-06-02-02-01-21.wav,fearful,high,Dogs are sitting by the door,01,21
03-01-03-02-02-01-21.wav,happy,high,Dogs are sitting by the door,01,21
03-01-05-02-02-01-21.wav,angry,high,Dogs are sitting by the door,01,21
03-01-04-02-01-01-21.wav,sad,high,Kids are talking by the door,01,21
03-01-01-01-02-01-21.wav,neutral,high,Dogs are sitting by the door,01,21
03-01-01-01-01-01-21.wav,neutral,high,Kids are talking by the door,01,21
03-01-07-02-02-01-21.wav,disgust,high,Dogs are sitting by the door,01,21
03-01-04-02-02-01-21.wav,sad,high,Dogs are sitting by the door,01,21
03-01-07-02-01-01-21.wav,disgust,high,Kids are talking by the door,01,21
03-01-05-02-01-01-21.wav,angry,high,Kids are talking by the door,01,21
03-01-06-02-01-01-21.wav,fearful,high,Kids are talking by the door,01,21
03-01-03-02-01-01-21.wav,happy,high,Kids are talking by the door,01,21
03-01-06-02-02-01-13.wav,fearful,high,Dogs are sitting by the door,01,13
03-01-04-02-02-01-13.wav,sad,high,Dogs are sitting by the door,01,13
03-01-05-02-02-01-13.wav,angry,high,Dogs are sitting by the door,01,13
03-01-01-01-02-01-13.wav,neutral,high,Dogs are sitting by the door,01,13
03-01-03-02-02-01-13.wav,happy,high,Dogs are sitting by the door,01,13
03-01-04-02-01-01-13.wav,sad,high,Kids are talking by the door,01,13
03-01-03-02-01-01-13.wav,happy,high,Kids are talking by the door,01,13
03-01-07-02-02-01-13.wav,disgust,high,Dogs are sitting by the door,01,13
03-01-05-02-01-01-13.wav,angry,high,Kids are talking by the door,01,13
03-01-06-02-01-01-13.wav,fearful,high,Kids are talking by the door,01,13
03-01-01-01-01-01-13.wav,neutral,high,Kids are talking by the door,01,13
03-01-07-02-01-01-13.wav,disgust,high,Kids are talking by the door,01,13
03-01-07-02-01-01-07.wav,disgust,high,Kids are talking by the door,01,07
03-01-05-02-01-01-07.wav,angry,high,Kids are talking by the door,01,07
03-01-05-02-02-01-07.wav,angry,high,Dogs are sitting by the door,01,07
03-01-06-02-02-01-07.wav,fearful,high,Dogs are sitting by the door,01,07
03-01-06-02-01-01-07.wav,fearful,high,Kids are talking by the door,01,07
03-01-04-02-02-01-07.wav,sad,high,Dogs are sitting by the door,01,07
03-01-03-02-01-01-07.wav,happy,high,Kids are talking by the door,01,07
03-01-07-02-02-01-07.wav,disgust,high,Dogs are sitting by the door,01,07
03-01-03-02-02-01-07.wav,happy,high,Dogs are sitting by the door,01,07
03-01-04-02-01-01-07.wav,sad,high,Kids are talking by the door,01,07
03-01-01-01-01-01-07.wav,neutral,high,Kids are talking by the door,01,07
03-01-01-01-02-01-07.wav,neutral,high,Dogs are sitting by the door,01,07
03-01-07-02-01-01-05.wav,disgust,high,Kids are talking by the door,01,05
03-01-06-02-02-01-05.wav,fearful,high,Dogs are sitting by the door,01,05
03-01-07-02-02-01-05.wav,disgust,high,Dogs are sitting by the door,01,05
03-01-05-02-02-01-05.wav,angry,high,Dogs are sitting by the door,01,05
03-01-01-01-01-01-05.wav,neutral,high,Kids are talking by the door,01,05
03-01-03-02-01-01-05.wav,happy,high,Kids are talking by the door,01,05
03-01-04-02-01-01-05.wav,sad,high,Kids are talking by the door,01,05
03-01-05-02-01-01-05.wav,angry,high,Kids are talking by the door,01,05
03-01-04-02-02-01-05.wav,sad,high,Dogs are sitting by the door,01,05
03-01-06-02-01-01-05.wav,fearful,high,Kids are talking by the door,01,05
03-01-01-01-02-01-05.wav,neutral,high,Dogs are sitting by the door,01,05
03-01-03-02-02-01-05.wav,happy,high,Dogs are sitting by the door,01,05
03-01-01-01-01-01-06.wav,neutral,high,Kids are talking by the door,01,06
03-01-03-02-02-01-06.wav,happy,high,Dogs are sitting by the door,01,06
03-01-03-02-01-01-06.wav,happy,high,Kids are talking by the door,01,06
03-01-05-02-02-01-06.wav,angry,high,Dogs are sitting by the door,01,06
03-01-04-02-01-01-06.wav,sad,high,Kids are talking by the door,01,06
03-01-07-02-02-01-06.wav,disgust,high,Dogs are sitting by the door,01,06
03-01-05-02-01-01-06.wav,angry,high,Kids are talking by the door,01,06
03-01-07-02-01-01-06.wav,disgust,high,Kids are talking by the door,01,06
03-01-06-02-02-01-06.wav,fearful,high,Dogs are sitting by the door,01,06
03-01-04-02-02-01-06.wav,sad,high,Dogs are sitting by the door,01,06
03-01-01-01-02-01-06.wav,neutral,high,Dogs are sitting by the door,01,06
03-01-06-02-01-01-06.wav,fearful,high,Kids are talking by the door,01,06
03-01-01-01-02-01-19.wav,neutral,high,Dogs are sitting by the door,01,19
03-01-05-02-02-01-19.wav,angry,high,Dogs are sitting by the door,01,19
03-01-06-02-02-01-19.wav,fearful,high,Dogs are sitting by the door,01,19
03-01-06-02-01-01-19.wav,fearful,high,Kids are talking by the door,01,19
03-01-01-01-01-01-19.wav,neutral,high,Kids are talking by the door,01,19
03-01-04-02-01-01-19.wav,sad,high,Kids are talking by the door,01,19
03-01-07-02-02-01-19.wav,disgust,high,Dogs are sitting by the door,01,19
03-01-07-02-01-01-19.wav,disgust,high,Kids are talking by the door,01,19
03-01-05-02-01-01-19.wav,angry,high,Kids are talking by the door,01,19
03-01-03-02-01-01-19.wav,happy,high,Kids are talking by the door,01,19
03-01-03-02-02-01-19.wav,happy,high,Dogs are sitting by the door,01,19
03-01-04-02-02-01-19.wav,sad,high,Dogs are sitting by the door,01,19
03-01-05-02-01-01-12.wav,angry,high,Kids are talking by the door,01,12
03-01-06-02-02-01-12.wav,fearful,high,Dogs are sitting by the door,01,12
03-01-07-02-02-01-12.wav,disgust,high,Dogs are sitting by the door,01,12
03-01-05-02-02-01-12.wav,angry,high,Dogs are sitting by the door,01,12
03-01-04-02-01-01-12.wav,sad,high,Kids are talking by the door,01,12
03-01-01-01-01-01-12.wav,neutral,high,Kids are talking by the door,01,12
03-01-03-02-01-01-12.wav,happy,high,Kids are talking by the door,01,12
03-01-06-02-01-01-12.wav,fearful,high,Kids are talking by the door,01,12
03-01-04-02-02-01-12.wav,sad,high,Dogs are sitting by the door,01,12
03-01-01-01-02-01-12.wav,neutral,high,Dogs are sitting by the door,01,12
03-01-07-02-01-01-12.wav,disgust,high,Kids are talking by the door,01,12
03-01-03-02-02-01-12.wav,happy,high,Dogs are sitting by the door,01,12
03-01-06-02-02-01-24.wav,fearful,high,Dogs are sitting by the door,01,24
03-01-01-01-01-01-24.wav,neutral,high,Kids are talking by the door,01,24
03-01-05-02-01-01-24.wav,angry,high,Kids are talking by the door,01,24
03-01-04-02-02-01-24.wav,sad,high,Dogs are sitting by the door,01,24
03-01-07-02-02-01-24.wav,disgust,high,Dogs are sitting by the door,01,24
03-01-03-02-02-01-24.wav,happy,high,Dogs are sitting by the door,01,24
03-01-04-02-01-01-24.wav,sad,high,Kids are talking by the door,01,24
03-01-07-02-01-01-24.wav,disgust,high,Kids are talking by the door,01,24
03-01-05-02-02-01-24.wav,angry,high,Dogs are sitting by the door,01,24
03-01-06-02-01-01-24.wav,fearful,high,Kids are talking by the door,01,24
03-01-01-01-02-01-24.wav,neutral,high,Dogs are sitting by the door,01,24
03-01-03-02-01-01-24.wav,happy,high,Kids are talking by the door,01,24
03-01-06-02-02-01-11.wav,fearful,high,Dogs are sitting by the door,01,11
03-01-01-01-01-01-11.wav,neutral,high,Kids are talking by the door,01,11
03-01-07-02-01-01-11.wav,disgust,high,Kids are talking by the door,01,11
03-01-03-02-02-01-11.wav,happy,high,Dogs are sitting by the door,01,11
03-01-04-02-01-01-11.wav,sad,high,Kids are talking by the door,01,11
03-01-06-02-01-01-11.wav,fearful,high,Kids are talking by the door,01,11
03-01-04-02-02-01-11.wav,sad,high,Dogs are sitting by the door,01,11
03-01-05-02-01-01-11.wav,angry,high,Kids are talking by the door,01,11
03-01-01-01-02-01-11.wav,neutral,high,Dogs are sitting by the door,01,11
03-01-03-02-01-01-11.wav,happy,high,Kids are talking by the door,01,11
03-01-05-02-02-01-11.wav,angry,high,Dogs are sitting by the door,01,11
03-01-07-02-02-01-11.wav,disgust,high,Dogs are sitting by the door,01,11
03-01-01-01-02-01-04.wav,neutral,high,Dogs are sitting by the door,01,04
03-01-04-02-02-01-04.wav,sad,high,Dogs are sitting by the door,01,04
03-01-07-02-01-01-04.wav,disgust,high,Kids are talking by the door,01,04
03-01-03-02-02-01-04.wav,happy,high,Dogs are sitting by the door,01,04
03-01-01-01-01-01-04.wav,neutral,high,Kids are talking by the door,01,04
03-01-06-02-01-01-04.wav,fearful,high,Kids are talking by the door,01,04
03-01-05-02-01-01-04.wav,angry,high,Kids are talking by the door,01,04
03-01-07-02-02-01-04.wav,disgust,high,Dogs are sitting by the door,01,04
03-01-05-02-02-01-04.wav,angry,high,Dogs are sitting by the door,01,04
03-01-03-02-01-01-04.wav,happy,high,Kids are talking by the door,01,04
03-01-04-02-01-01-04.wav,sad,high,Kids are talking by the door,01,04
03-01-06-02-02-01-04.wav,fearful,high,Dogs are sitting by the door,01,04
